wavelength,Rrs_ref0.3067,Rrs_ref0.2788,Rrs_ref0.2383,Rrs_ref0.2318,Rrs_ref0.2291
517.0,7.04428506e-03,7.28264156e-03,7.17531640e-03,6.19759055e-03,6.30129074e-03
518.0,7.11438099e-03,7.33927100e-03,7.24877651e-03,6.27020019e-03,6.37890225e-03
519.0,7.20110931e-03,7.41051924e-03,7.32315882e-03,6.35337942e-03,6.43805538e-03
520.0,7.27808311e-03,7.48273998e-03,7.39110135e-03,6.39492812e-03,6.49125060e-03
521.0,7.36406662e-03,7.55033036e-03,7.48122496e-03,6.45718299e-03,6.54859767e-03
522.0,7.44415651e-03,7.61121194e-03,7.57430502e-03,6.53840677e-03,6.63489981e-03
523.0,7.53393868e-03,7.68459666e-03,7.66891451e-03,6.62259738e-03,6.70703404e-03
524.0,7.61081663e-03,7.76993844e-03,7.73830067e-03,6.65854266e-03,6.74203975e-03
525.0,7.70465731e-03,7.84170176e-03,7.85859766e-03,6.70433258e-03,6.80675479e-03
526.0,7.79018257e-03,7.89507034e-03,7.99516911e-03,6.82506539e-03,6.92779875e-03
527.0,7.86952910e-03,7.95186216e-03,8.10103390e-03,6.95589177e-03,7.02507821e-03
528.0,7.95186889e-03,8.02432460e-03,8.19366876e-03,6.99412528e-03,7.07024981e-03
529.0,8.03922494e-03,8.10183775e-03,8.30661489e-03,7.05523599e-03,7.13298117e-03
530.0,8.12177993e-03,8.17665916e-03,8.39993645e-03,7.12130224e-03,7.18684041e-03
531.0,8.21261324e-03,8.25232060e-03,8.52693444e-03,7.16754089e-03,7.25237083e-03
532.0,8.29713780e-03,8.31261187e-03,8.65542021e-03,7.26523602e-03,7.34228537e-03
533.0,8.38096005e-03,8.37069327e-03,8.78211232e-03,7.36667492e-03,7.43865694e-03
534.0,8.46240917e-03,8.44385958e-03,8.88547365e-03,7.44005150e-03,7.49930580e-03
535.0,8.54971356e-03,8.51452019e-03,8.99986804e-03,7.48654250e-03,7.55323723e-03
536.0,8.63057261e-03,8.57930842e-03,9.11709526e-03,7.55728396e-03,7.62848497e-03
537.0,8.72027149e-03,8.65247539e-03,9.23136063e-03,7.64479773e-03,7.70227156e-03
538.0,8.79736370e-03,8.72179618e-03,9.32972280e-03,7.68748413e-03,7.74899122e-03
539.0,8.88462341e-03,8.78255919e-03,9.45874826e-03,7.76980424e-03,7.83352632e-03
540.0,8.96064755e-03,8.83452333e-03,9.57166044e-03,7.86501238e-03,7.92306925e-03
541.0,9.04645631e-03,8.89972811e-03,9.67907345e-03,7.94925679e-03,7.99265825e-03
542.0,9.12421636e-03,8.96348599e-03,9.77905990e-03,8.01037334e-03,8.05831325e-03
543.0,9.20430384e-03,9.02574338e-03,9.87486443e-03,8.08052894e-03,8.12169895e-03
544.0,9.28211350e-03,9.08900174e-03,9.96481903e-03,8.14258988e-03,8.17841449e-03
545.0,9.35853641e-03,9.15306555e-03,1.00510016e-02,8.19897077e-03,8.23656990e-03
546.0,9.43701383e-03,9.20871588e-03,1.01452336e-02,8.26495676e-03,8.30152217e-03
547.0,9.50836594e-03,9.26323638e-03,1.02295621e-02,8.33900231e-03,8.37234117e-03
548.0,9.58790220e-03,9.32192123e-03,1.03112815e-02,8.41189527e-03,8.43463677e-03
549.0,9.66025638e-03,9.37887044e-03,1.03872135e-02,8.46054943e-03,8.48844943e-03
550.0,9.74118293e-03,9.44112170e-03,1.04724847e-02,8.53466806e-03,8.55640367e-03
551.0,9.81050342e-03,9.49280337e-03,1.05507451e-02,8.59614206e-03,8.61389741e-03
552.0,9.88997090e-03,9.55351663e-03,1.06412690e-02,8.67034462e-03,8.68482752e-03
553.0,9.95831399e-03,9.60351232e-03,1.07184402e-02,8.74447515e-03,8.75228213e-03
554.0,1.00306593e-02,9.66538524e-03,1.07863487e-02,8.80490072e-03,8.80329674e-03
555.0,1.01019746e-02,9.72335424e-03,1.08650284e-02,8.85220969e-03,8.85902228e-03
556.0,1.01715460e-02,9.77743435e-03,1.09381846e-02,8.92404074e-03,8.92269944e-03
557.0,1.02332720e-02,9.82623879e-03,1.10061975e-02,8.98477394e-03,8.98048301e-03
558.0,1.03007136e-02,9.87180582e-03,1.10869803e-02,9.05964863e-03,9.05418030e-03
559.0,1.03623471e-02,9.91485201e-03,1.11467959e-02,9.14669821e-03,9.12387645e-03
560.0,1.04209469e-02,9.96539203e-03,1.12000071e-02,9.18947156e-03,9.16748509e-03
561.0,1.04754034e-02,1.00113424e-02,1.12463122e-02,9.23897641e-03,9.21521896e-03
562.0,1.05342405e-02,1.00569210e-02,1.12955625e-02,9.29708750e-03,9.26142927e-03
563.0,1.05825851e-02,1.01020797e-02,1.13279174e-02,9.33129433e-03,9.29864591e-03
564.0,1.06284341e-02,1.01387698e-02,1.13645056e-02,9.36559098e-03,9.33230526e-03
565.0,1.06747682e-02,1.01744442e-02,1.14057728e-02,9.41692173e-03,9.38345163e-03
566.0,1.07132022e-02,1.02103186e-02,1.14236198e-02,9.46326664e-03,9.41202026e-03
567.0,1.07514836e-02,1.02483830e-02,1.14370793e-02,9.46956105e-03,9.42718775e-03
568.0,1.07850505e-02,1.02823207e-02,1.14511348e-02,9.51062027e-03,9.45580232e-03
569.0,1.08132978e-02,1.03032679e-02,1.14603363e-02,9.52885230e-03,9.47459158e-03
570.0,1.08417710e-02,1.03234955e-02,1.14714500e-02,9.57058907e-03,9.51431661e-03
571.0,1.08672096e-02,1.03469360e-02,1.14630238e-02,9.60782253e-03,9.53240824e-03
572.0,1.08858875e-02,1.03779864e-02,1.14346780e-02,9.59531000e-03,9.52074511e-03
573.0,1.09062373e-02,1.04059529e-02,1.14015030e-02,9.58208100e-03,9.51016899e-03
574.0,1.09192690e-02,1.04209560e-02,1.13767266e-02,9.57472857e-03,9.50770405e-03
575.0,1.09339972e-02,1.04371881e-02,1.13432863e-02,9.58673977e-03,9.51496109e-03
576.0,1.09403252e-02,1.04496500e-02,1.12876241e-02,9.56869661e-03,9.49363807e-03
577.0,1.09471685e-02,1.04634529e-02,1.12386628e-02,9.55122381e-03,9.47968174e-03
578.0,1.09496366e-02,1.04663449e-02,1.11784666e-02,9.54633501e-03,9.47047592e-03
579.0,1.09518171e-02,1.04704991e-02,1.11028818e-02,9.52704361e-03,9.44431385e-03
580.0,1.09475291e-02,1.04759909e-02,1.10237094e-02,9.49225573e-03,9.41392605e-03
581.0,1.09397292e-02,1.04780010e-02,1.09304462e-02,9.45109028e-03,9.37388035e-03
582.0,1.09350164e-02,1.04793556e-02,1.08285668e-02,9.40543685e-03,9.32534881e-03
583.0,1.09306356e-02,1.04869732e-02,1.07190223e-02,9.34648973e-03,9.26940193e-03
584.0,1.09212455e-02,1.04811255e-02,1.06257545e-02,9.29619141e-03,9.22449209e-03
585.0,1.09135682e-02,1.04731411e-02,1.05196795e-02,9.26040416e-03,9.18929252e-03
586.0,1.09073019e-02,1.04834901e-02,1.03920999e-02,9.20256394e-03,9.11785369e-03
587.0,1.08933081e-02,1.04891718e-02,1.02789333e-02,9.09485211e-03,9.02698889e-03
588.0,1.08771698e-02,1.04540946e-02,1.01953876e-02,9.06993862e-03,9.01376833e-03
589.0,1.08689121e-02,1.04258190e-02,1.00986775e-02,9.12317543e-03,9.03504881e-03
590.0,1.08546356e-02,1.04171374e-02,9.97370271e-03,9.06629099e-03,8.96974197e-03
591.0,1.08385208e-02,1.04096370e-02,9.83777064e-03,8.99592377e-03,8.90956064e-03
592.0,1.08226350e-02,1.04019935e-02,9.69437061e-03,8.93129920e-03,8.83355172e-03
593.0,1.07992392e-02,1.03809937e-02,9.54403137e-03,8.84193857e-03,8.75743300e-03
594.0,1.07658424e-02,1.03469099e-02,9.39610878e-03,8.79036758e-03,8.70538133e-03
595.0,1.07231489e-02,1.03101271e-02,9.20204064e-03,8.70776880e-03,8.61493857e-03
596.0,1.06728080e-02,1.02736402e-02,8.99242268e-03,8.58805420e-03,8.49461910e-03
597.0,1.06139433e-02,1.02194459e-02,8.77070322e-03,8.46374696e-03,8.37483292e-03
598.0,1.05578947e-02,1.01700541e-02,8.57206932e-03,8.34653466e-03,8.25696027e-03
599.0,1.04998527e-02,1.01226258e-02,8.37454892e-03,8.21271183e-03,8.12925656e-03
600.0,1.04493448e-02,1.00778443e-02,8.20796132e-03,8.08527386e-03,8.01445359e-03
601.0,1.04125156e-02,1.00387985e-02,8.07874416e-03,8.00050049e-03,7.93626902e-03
602.0,1.03866127e-02,1.00182196e-02,7.98708351e-03,7.94236847e-03,7.87504930e-03
603.0,1.03588483e-02,1.00058218e-02,7.90012773e-03,7.87051140e-03,7.81027858e-03
604.0,1.03439925e-02,1.00024238e-02,7.83841970e-03,7.81228234e-03,7.75911449e-03
605.0,1.03285532e-02,9.99998824e-03,7.78873661e-03,7.77716081e-03,7.72684843e-03
606.0,1.03109754e-02,9.99694900e-03,7.74312921e-03,7.74088766e-03,7.69275211e-03
607.0,1.02995389e-02,9.99738545e-03,7.70475099e-03,7.70550792e-03,7.66443201e-03
608.0,1.02795100e-02,9.99495302e-03,7.66217648e-03,7.67795867e-03,7.63421357e-03
609.0,1.02613059e-02,9.99076710e-03,7.62333286e-03,7.64963152e-03,7.60820840e-03
610.0,1.02379554e-02,9.98450058e-03,7.57794580e-03,7.61645086e-03,7.57593401e-03
611.0,1.02218336e-02,9.98388985e-03,7.53692526e-03,7.58119004e-03,7.54209845e-03
612.0,1.02063600e-02,9.97730002e-03,7.49846605e-03,7.54356531e-03,7.51193780e-03
613.0,1.01853830e-02,9.96976621e-03,7.45510870e-03,7.51722547e-03,7.48323728e-03
614.0,1.01672476e-02,9.97166875e-03,7.40999183e-03,7.48089990e-03,7.44439534e-03
615.0,1.01510049e-02,9.96348095e-03,7.37754544e-03,7.44258486e-03,7.41675137e-03
616.0,1.01326297e-02,9.95492981e-03,7.34219438e-03,7.43397425e-03,7.40513954e-03
617.0,1.01245738e-02,9.95561604e-03,7.30649519e-03,7.41162522e-03,7.37609982e-03
618.0,1.01132009e-02,9.95814177e-03,7.26932013e-03,7.37961743e-03,7.34593895e-03
619.0,1.01037708e-02,9.96238069e-03,7.23120274e-03,7.34911111e-03,7.31920018e-03
620.0,1.00972371e-02,9.96931468e-03,7.19540429e-03,7.31535801e-03,7.28727189e-03
621.0,1.00952169e-02,9.97727095e-03,7.16853791e-03,7.28626133e-03,7.26761429e-03
622.0,1.00917908e-02,9.98048165e-03,7.13716691e-03,7.27294186e-03,7.24859939e-03
623.0,1.00916640e-02,9.98478480e-03,7.11331391e-03,7.25666824e-03,7.23230734e-03
624.0,1.00955853e-02,9.99261196e-03,7.08955075e-03,7.24152436e-03,7.22318147e-03
625.0,1.00945002e-02,9.99791184e-03,7.06143998e-03,7.23228485e-03,7.20707341e-03
626.0,1.00954532e-02,1.00055671e-02,7.03829693e-03,7.19697593e-03,7.17849366e-03
627.0,1.00987926e-02,1.00144687e-02,7.02001629e-03,7.18994830e-03,7.17051586e-03
628.0,1.01019753e-02,1.00133611e-02,7.00050598e-03,7.19270713e-03,7.16332820e-03
629.0,1.01014584e-02,1.00213512e-02,6.98058728e-03,7.16763578e-03,7.14662941e-03
